Company Name,Website URL,Has Facebook,Facebook URL,Facebook Page Name,Followers,Phone (Facebook),Email (Facebook),Address (Facebook),Emails (Website),Phones (Website),Found Via,Description Snippet,Scraped At
11 Best Construction companies in Cameroon - Project House,https://project-house.net/construction-companies-in-cameroon/,Yes,https://www.facebook.com/Project-House-Consulting-Services-501149433756811,Project House Consulting Services,71000,61824556,projecthouseconsultingservices@gmail.com,,info@project-house.net,"33756811; 20221117; 20230714; 62891585; +23765047802; 23332410; 69984985; 20111951; +23769899072; 23765006",google_serpapi,"1). Charis Electric Co Ltd (Bamenda) · 2). George & Jerry Construction Company Ltd (Buea) · 3). Bundes Construction (BUCRES), [Limbe] · 4). BRIC ...",2026-03-17T15:23:32.603Z
construire la maison de vos rêves,https://ecoconstructioncameroon.com/fr/,Yes,https://www.facebook.com/EcoCamLtd,Eco Construction Cameroon,207,61824656,service@ecoconstructioncameroon.com,,,"20170722; 20250403",google_serpapi,Eco Construction Cameroon conçoit et construit des maisons clé en main pour les clients au Cameroun et de la diaspora camerounaise.,2026-03-17T15:27:25.424Z
Diamond Realty,https://www.diamondrealty.estate/,Yes,https://www.facebook.com/diamondrealtycameroon,Diamond Realty Cameroon,568,61824709,,,,"31025645; 34189508; 66698214; 67033765; 66700899; 66701428; 31534452; +23769572337; +23768285900",google_serpapi,"Diamond Realty is a real estate company in Cameroon focused on land development, construction, and property management.",2026-03-17T15:29:30.272Z
SECPE Investments: HOME,https://www.secpeinvestments.com/,Yes,https://www.facebook.com/secpeinvestments,SECPE Investments- SECPE Rentals,34000,61824773,info@secpeinvestments.com,,,"24993024; 25023972; 24078646; 24994137; 20210710",google_serpapi,"Africa Real Estate – SECPE Investments Inc ; 2 Bedrooms High end Apartment to rent Yaounde · 600,000.00 Bastos · Area, Approximately 175m2 Sq Ft ; Residence Maurice.",2026-03-17T15:31:51.443Z
Home - ECO CONSTRUCTION CAMEROON,https://ecoconstructioncameroon.com/en/,Yes,https://www.facebook.com/EcoCamLtd,Eco Construction Cameroon,207,61824792,service@ecoconstructioncameroon.com,,,"20170722; 20250403",google_serpapi,Building the home of your dreams! Eco Construction Cameroon designs and builds turnkey homes for clients in Cameroon and the Cameroonian diaspora.,2026-03-17T15:32:42.297Z
Search properties - mapiole.com,https://www.mapiole.com/en/product-listing?for=forSale&type=Apartment,Yes,https://www.facebook.com/share/1FWoF4KkjF,Mapiole,29000,61824857,info@mapiole.com,,info@mapiole.com,"33905691; 20240098",google_serpapi,"Easily buy, sell, rent, or build real estate in Cameroon with Mapiole. Discover top properties & real estate offers on land, houses, apartments, and villas.",2026-03-17T15:35:14.454Z
KEUR-IMMO Cameroon 🇨🇲 - #1 real estate listings website,https://keur-immo.com/en/cameroon/,Yes,https://www.facebook.com/keurimmo.officiel,KEUR-IMMO.com,44000,61824872,contact@keur-immo.com,,,"20200925; 20260215; 33868419; 22170349",google_serpapi,"Keur-Immo® Cameroon, Cameroon's #1 real estate agency! Real estate listings for apartments, villas, houses, and land for sale and rent.",2026-03-17T15:35:51.658Z
Cheap Apartments for Sale in Cameroon,https://realting.com/cameroon/apartments/cheap,Yes,https://www.facebook.com/Realting-Platform-104756424749883,Realting.com,19000,61824882,info@realting.com,,"business@realting.com; clipboard.min@2.0.10.js","62079451; 30000000; 25000000",google_serpapi,Find Cheap Apartments for Sale in Cameroon ✓ Large selection of flats in latest listings ✓ Actual prices ✓ Photos ✓ Description and Location on the map.,2026-03-17T15:36:11.377Z
LISTINGS - Cameroon Real Estate Market,https://www.secpeinvestments.com/listings/,Yes,https://www.facebook.com/secpeinvestments,SECPE Investments- SECPE Rentals,34000,61824892,info@secpeinvestments.com,,,20210710,google_serpapi,"Fr750,000.00 Bastos Property has 7 apartments with 2 bedrooms each, 1 Sitting room, 1 American style kitchen… Beds, 2. Baths, 2. Area, Approximately - 500 m2 ...",2026-03-17T15:36:36.710Z
"Housing for expats in Cameroon: Find, rent or buy property",https://www.expat.com/en/housing/africa/cameroon/,Yes,https://www.facebook.com/expat.blog,Expat.com,112000,61824938,,,contact@expat.com,"20169404; 22012049; 69802154; 65002695; 65002678; 65002686",google_serpapi,"Find your home in Cameroon: Browse housing ads for expats to rent, buy or sell a property. Post your ad for free.",2026-03-17T15:38:22.996Z
